IATA,ICAO,Airline,Callsign,Country
6N,NRD,Nordic Airways,NORTH RIDER,Sweden
6N,NRD,Nordic Regional,NORTH RIDER,Sweden
NA,NAO,North American Airlines,NORTH AMERICAN,USA
M3,NFA,North Flying,NORTH FLYING,Denmark
HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada
NC,NAC,Northern Air Cargo,YUKON,USA
NW,NWA,Northwest Airlines,NORTHWEST,USA
FY,NWR,Northwest Regional Airlines,,Australia
J3,PLR,Northwestern Air,POLARIS,Canada
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway
BJ,LBT,Nouvelair,NOUVELAIR,Tunesia
M4,NOV,Nova Airline,NOVANILE,Sudan
1I,NVR,Novair,NAVIGATOR,Sweden
OL,OLT,OLT - Ostfriesische Lufttransport,OLTRA,Germany
O6,ONE,Oceanair,OCEANAIR,Brazil
5K,ODS,Odessa Airlines,ODESSA AIR,Ukraine
BK,OKA,Okay Airways,OKAYJET,China - Peoples Republic
OA,OAL,Olympic Airlines,OLYMPIC,Greece
WY,OMA,Oman Air,OMAN AIR,Oman
OY,OAE,Omni Air International,OMNI-EXPRESS,USA
OX,OTG,One-Two-GO Airlines,THAI EXPRESS,Thailand
8Q,OHY,Onur Air,ONUR AIR,Turkey
EC,BOS,OpenSkies,MISTRAL,United Kingdom
R2,ORB,Orenair (Orenburg Airlines),ORENBURG,Russia
OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand
OJ,OLA,Overland Airways,OVERLAND,Nigeria
O7,OZJ,Ozjet Airlines,AUSJET,Australia
PV,PNR,PAN Air,SKYJET,Spain
9Q,PBA,PB Air,PEEBEE AIR,Thailand
PU,PUA,PLUNA,PLUNA,Uruguay
U4,PMT,PMTair,MULTITRADE,Cambodia
US,JIA,PSA Airlines,BLUE STREAK,USA
Y5,PCE,Pace Airlines,PACE,USA
DJ,PBN,Pacific Blue Airlines,BLUEBIRD,New Zealand
8P,PCO,Pacific Coastal Airline,PASCO,Canada
Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
LW,NMI,Pacific Wings,TSUNAMI,USA
PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan
PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt
NR,PIR,Pamir Airways,PAMIR,Afghanistan
PQ,PNF,Panafrican Airways,PANWAYS,Ivory Coast
P8,PTN,Pantanal Linhas Aereas Sul-Matogrossenses,PANTANAL,Brazil
I7,PMW,Paramount Airways,PARAWAY,India
2F,IRP,Payam Air,PAYAMAIR,Iran
HP,HPA,Pearl Airways,PEARL AIRWAYS,Haiti
H9,PGT,Pegasus Airlines,SUNTURK,Turkey
7V,PDF,Pelican Air Services,PELICAN AIRWAYS,South Africa
6D,PAS,Pelita Air Service,PELITA,Indonesia
KS,PEN,PenAir (Peninsula Airways),PENINSULA,USA
PEOPLES,Austria,,,
4B,PAG,Perimeter Aviation (Perimeter Airlines),PERIMETER,Canada
P9,PGP,Perm Airlines,PERM AIR,Russia
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines
9R,VAP,Phuket Air,PHUKET AIR,Thailand
PI,PDT,Piedmont Airlines,PIEDMONT,USA
9E,FLG,Pinnacle Airlines,FLAGSHIP,USA
PO,PAC,Polar Air Cargo,POLAR,USA
YQ,POT,Polet Airlines,POLET,Russia
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa
PD,POE,Porter Airlines,PORTER AIR,Canada
NI,PGA,Portugalia,PORTUGALIA,Portugal
PW,PRF,Precision Air,PRECISION AIR,Tanzania
